playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,Debut_Year,Final_Year,retroID,bbrefID
grasmlo01,1924,9,11,USA,MD,Baltimore,2016,5,26,USA,MD,Baltimore,Lou,Grasmick,Louis Junior,195,72,R,R,1948,1948,grasl101,grasmlo01
mcgowmi01,1921,11,26,USA,AL,Dothan,2003,3,8,USA,GA,Waycross,Mickey,McGowan,Tullis Earl,200,74,L,L,1948,1948,mcgom101,mcgowmi01
portoal01,1926,6,27,USA,PA,Heilwood,2005,7,6,USA,CA,Lancaster,Al,Porto,Alfred,176,71,L,L,1948,1948,porta102,portoal01
rushbo01,1925,12,21,USA,MI,Battle Creek,2011,3,19,USA,AZ,Mesa,Bob,Rush,Robert Ransom,205,76,R,R,1948,1960,rushb101,rushbo01
scalaje01,1924,9,27,USA,NJ,Bayonne,1993,12,14,USA,MD,Fallston,Jerry,Scala,Gerard Michael,178,71,L,R,1948,1950,scalj102,scalaje01
difanja01,1922,12,21,USA,MO,Crystal City,2003,12,3,USA,MO,Crystal City,Jay,Difani,Clarence Joseph,170,72,R,R,1948,1949,difaj101,difanja01
chambcl01,1922,1,10,USA,OR,Portland,2012,1,21,USA,ID,Eagle,Cliff,Chambers,Clifford Day,208,75,L,L,1948,1953,chamc102,chambcl01
goodwji01,1926,8,15,USA,MO,St. Louis,2008,4,12,USA,MO,St. Louis,Jim,Goodwin,James Patrick,170,73,L,L,1948,1948,goodj102,goodwji01
laytole01,1921,11,18,USA,OK,Nardin,2014,3,1,USA,AZ,Scottsdale,Les,Layton,Lester Lee,165,72,R,R,1948,1948,laytl101,laytole01
mcdermi03,1929,4,29,USA,NY,Poughkeepsie,2003,8,7,USA,AZ,Phoenix,Mickey,McDermott,Maurice Joseph,170,74,L,L,1948,1961,mcdem102,mcdermi03
papaial01,1917,5,7,USA,IL,Divernon,1995,9,7,USA,IL,Springfield,Al,Papai,Alfred Thomas,185,75,R,R,1948,1955,papaa101,papaial01
sloatle01,1918,12,1,USA,IL,Nokomis,2003,4,18,USA,MN,St. Paul,Lefty,Sloat,Dwain Clifford,168,72,R,L,1948,1949,sloal101,sloatle01
murrara01,1917,10,12,USA,NC,Spring Hope,2003,4,9,USA,TX,Fort Worth,Ray,Murray,Raymond Lee,204,75,R,R,1948,1954,murrr102,murrara01
prendji01,1917,8,23,USA,NY,Brooklyn,1994,8,23,USA,NY,Amherst,Jim,Prendergast,James Bartholomew,208,73,L,L,1948,1948,prenj101,prendji01
cresswa01,1917,3,6,USA,VA,Ben Hur,1996,4,21,USA,LA,Baton Rouge,Walker,Cress,Walker James,205,77,R,R,1948,1949,cresw101,cresswa01
mccaldu01,1920,12,27,USA,TN,Columbia,1996,1,8,USA,AR,Little Rock,Dutch,McCall,Robert Leonard,184,73,L,L,1948,1948,mccad101,mccaldu01
carlsdo01,1926,10,15,USA,IL,Chicago,2002,9,22,USA,CO,Denver,Don,Carlsen,Donald Herbert,175,73,R,R,1948,1952,carld101,carlsdo01
woodke01,1924,7,1,USA,NC,Lincolnton,2007,11,22,USA,SC,Myrtle Beach,Ken,Wood,Kenneth Lanier,200,72,R,R,1948,1953,woodk101,woodke01
harribu02,1926,2,15,USA,AL,Sulligent,2013,1,12,USA,FL,Nobleton,Bubba,Harris,Charles,204,76,R,R,1948,1951,harrb104,harribu02
kellnal01,1924,8,26,USA,AZ,Tucson,1996,5,3,USA,AZ,Tucson,Alex,Kellner,Alexander Raymond,200,72,R,L,1948,1959,kella103,kellnal01
meekssa01,1923,4,23,USA,SC,Anderson,2007,4,23,USA,TN,Memphis,Sammy,Meeks,Samuel Mack,160,69,R,R,1948,1951,meeks101,meekssa01
